what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1317803468247
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1317803470163
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1317803470284
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1317803473178
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1317803473663
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1317803475715
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1317803475830
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1317803478059
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1317803478184
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1317803493106
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1317803526949
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1317803537201
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1317803538753
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1317803545206
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1317803567416
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1317803570698
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1317803570774
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1317803611881
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1317803659339
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1317803659455
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.moveLineDown",1317803664513
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.moveLineDown",1317803665010
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.moveLineDown",1317803665031
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.moveLineDown",1317803665064
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.moveLineDown",1317803665098
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.moveLineDown",1317803665131
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.moveLineDown",1317803665160
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.moveLineDown",1317803665193
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.moveLineDown",1317803665226
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.moveLineDown",1317803665260
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.moveLineDown",1317803665292
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.moveLineDown",1317803665326
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.moveLineDown",1317803665358
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.moveLineDown",1317803665391
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.moveLineDown",1317803665424
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.moveLineDown",1317803665457
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.moveLineDown",1317803665679
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.moveLineDown",1317803665871
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.moveLineUp",1317803667072
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.moveLineUp",1317803669745
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1317803679182
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1317803683434
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1317803689174
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1317803694780
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1317803700239
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1317803729027
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1317806419942
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1317806424963
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1317806465019
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1317806476685
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1317806485988
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1317806486464
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1317806489363
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1317806489487
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1317806502058
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1317806533825
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1317806538970
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1317806570387
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1317806573552
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1317806575538
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1317806576990
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1317806577079
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1317806578932
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1317806578937
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1317806625075
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1317806643818
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1317806659624
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1317806662205
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1317806685259
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1317806713537
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1317806728227
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1317806731016
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1317806731143
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1317806746350
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1317806749841
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1317806750265
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1317806764578
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1317806768146
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1317806768349
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1317806776428
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.moveLineUp",1317806789066
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.moveLineUp",1317806789557
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.moveLineUp",1317806789595
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.moveLineUp",1317806789618
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.moveLineUp",1317806789646
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.moveLineUp",1317806789679
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.moveLineUp",1317806789712
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.moveLineUp",1317806789745
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.moveLineUp",1317806789778
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.moveLineUp",1317806789809
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.moveLineUp",1317806789844
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.moveLineUp",1317806789875
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.moveLineUp",1317806789910
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.moveLineUp",1317806789941
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.moveLineUp",1317806789982
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.moveLineUp",1317806790008
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.moveLineUp",1317806790042
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.moveLineUp",1317806790075
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.moveLineUp",1317806790108
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.moveLineUp",1317806790141
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.moveLineUp",1317806790176
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.moveLineUp",1317806790207
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.moveLineUp",1317806790239
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.moveLineUp",1317806790274
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.moveLineUp",1317806790306
