what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.update.core,3.2.400.v20100512,"org.eclipse.update.core",1318516471941
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1318516471942
started,bundle,jd.ide.eclipse,0.1.3,"jd.ide.eclipse",1318516471942
os,sysinfo,,,"win32",1318516471946
arch,sysinfo,,,"x86_64",1318516471946
ws,sysinfo,,,"win32",1318516471946
locale,sysinfo,,,"en_US",1318516471946
processors,sysinfo,,,"4",1318516471947
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1318516471947
java.runtime.version,sysinfo,,,"1.7.0-b147",1318516471947
java.specification.name,sysinfo,,,"Java Platform API Specification",1318516471947
java.specification.vendor,sysinfo,,,"Oracle Corporation",1318516471947
java.specification.version,sysinfo,,,"1.7",1318516471947
java.vendor,sysinfo,,,"Oracle Corporation",1318516471947
java.version,sysinfo,,,"1.7.0",1318516471947
java.vm.info,sysinfo,,,"mixed mode",1318516471947
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1318516471947
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1318516471947
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1318516471947
java.vm.specification.version,sysinfo,,,"1.7",1318516471947
java.vm.vendor,sysinfo,,,"Oracle Corporation",1318516471947
java.vm.version,sysinfo,,,"21.0-b17",1318516471947
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318516553740
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318516728176
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318516729873
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318516815795
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318516832853
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318516840656
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1318516840685
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1318516853527
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1318516853618
activated,view,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.DebugView",1318516869666
executed,command,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.commands.Terminate",1318516870549
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318516876270
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318516881253
opened,view,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.VariableView",1318516881298
opened,editor,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.sourcelookup.CommonSourceNotFoundEditor",1318516881383
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318516905549
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318516948430
executed,command,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.commands.Resume",1318516953708
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1318516954810
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1318516958198
activated,view,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.DebugView",1318516964811
executed,command,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.commands.Terminate",1318516964876
closed,editor,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.sourcelookup.CommonSourceNotFoundEditor",1318516964911
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318516992441
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318516999584
opened,editor,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.sourcelookup.CommonSourceNotFoundEditor",1318516999674
opened,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1318517027982
activated,perspective,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.JavaPerspective",1318517028018
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1318517028024
closed,editor,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.sourcelookup.CommonSourceNotFoundEditor",1318517031821
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318517033120
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318517058332
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1318517058356
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1318517064211
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318517068407
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318517073753
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1318517077061
started,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1318517077853
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1318517083053
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1318517089086
started,bundle,org.eclipse.jdt.junit,3.6.0.v20100526-0800,"org.eclipse.jdt.junit",1318517089892
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1318517095306
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1318517096489
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318517102861
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318517106140
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1318517109612
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1318517136933
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1318517137530
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1318517149152
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1318517162559
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318517167221
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318517563469
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318517566852
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318517577205
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1318517577218
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1318517580004
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1318517580074
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318517598805
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318517598992
started,bundle,org.eclipse.mylyn.ide.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ui",1318517610415
started,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1318517610429
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318517615540
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318517617353
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1318517632311
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1318517643714
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1318517645442
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1318517646651
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318517650254
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318517701886
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1318517701895
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318517709051
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318517737805
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1318517737844
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318517740846
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318517744122
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1318517750572
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1318517757114
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1318517758403
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318517762761
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318517765532
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1318517773402
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318517784017
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318517791475
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1318517794295
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1318517798022
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1318517829714
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318517833981
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318517842317
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318517857282
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318517862204
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318517867230
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318517971753
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318517975613
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318517978087
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318517981710
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318517990031
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1318517996855
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318517999097
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318518003599
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1318518011571
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1318518015924
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1318518022771
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1318518024592
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1318518025100
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1318518026895
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1318518028518
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1318518028898
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318518029558
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.findReplace",1318518029590
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1318518030493
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318518032015
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318518033394
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318518034879
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318518041586
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318518046045
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318518083809
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318518083890
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318518101674
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318518101774
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1318518104077
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318518108025
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318518108113
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.moveLineUp",1318518110502
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.moveLineUp",1318518110683
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.moveLineUp",1318518110835
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.moveLineUp",1318518110986
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1318518113831
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1318518120816
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1318518121308
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1318518121341
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1318518121374
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1318518121407
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1318518121439
