what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.moveLineDown",1318028369768
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.moveLineUp",1318028370127
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1318028373580
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318028440446
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318028440518
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1318028626170
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1318028649595
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1318028653187
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318028655061
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318028655167
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1318028661004
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318028663467
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318028672527
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1318028680466
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318028682627
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318028690839
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1318028693252
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318028695347
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318028702359
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.moveLineUp",1318028713445
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.moveLineDown",1318028715359
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.moveLineDown",1318028715565
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.moveLineDown",1318028715734
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.moveLineDown",1318028716503
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1318028718378
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318028723686
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318028728424
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1318028728548
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318028732885
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318028767974
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1318028770470
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318028773559
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318028777495
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1318028777510
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318028782061
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318028787244
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1318028802332
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1318028805883
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1318028806597
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1318028809196
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318028811750
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318028812800
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318028817102
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1318028817212
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318028820455
activated,perspective,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.DebugPerspective",1318028820520
activated,view,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.DebugView",1318028824551
executed,command,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.commands.Resume",1318028824621
opened,editor,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.sourcelookup.CommonSourceNotFoundEditor",1318028826857
executed,command,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.commands.Resume",1318028842292
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1318028851996
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1318028903276
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1318028907627
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1318028920924
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1318028926309
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1318028929539
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318028929752
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318028931591
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1318028949716
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1318028971713
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318028971958
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318028973318
activated,perspective,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.JavaPerspective",1318028975961
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1318028984227
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1318028989660
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1318028992309
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318028992521
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318028993798
