what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318501028790
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318501432660
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1318501447632
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1318501458943
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1318501468204
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318501476997
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318501494101
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1318501507840
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1318501509171
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1318501521745
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318501522789
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318501523815
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318501525654
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318501525735
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1318501527478
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318501531878
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318501531965
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318501534011
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318501534112
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318501537046
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318501537166
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318501542045
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318501542109
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318501552020
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318501592226
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1318501599071
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1318501600635
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1318501615305
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1318501629778
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1318501647761
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1318501649447
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1318501656241
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1318501663176
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318501665126
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318501665213
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1318501684676
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318501706785
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318501731459
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1318501738042
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1318501738232
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318501742145
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318501750086
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1318501750169
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1318501750210
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1318501752005
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318501754125
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318501756746
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1318501756827
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1318501756875
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1318501759019
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1318501759170
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318501760692
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318501770367
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1318501772881
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1318501784711
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1318501786321
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1318501786470
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318501787467
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318501797320
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1318501798970
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1318501808309
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1318501810472
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1318501815667
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1318501818429
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1318501827433
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318501846978
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318501933135
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318501964891
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318501969421
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1318501977597
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1318501979187
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1318501983699
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1318501994608
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1318502002020
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1318502009126
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1318502009578
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1318502009746
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1318502011061
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1318502012649
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1318502015210
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1318502015365
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1318502059930
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1318502074997
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1318502096143
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1318502098129
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1318502122628
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1318502141712
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318502144046
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318502144177
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1318502150816
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1318502157953
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1318502158136
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1318502164664
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1318502217435
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1318502233776
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1318502233940
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1318502237318
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1318502251858
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1318502253032
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1318502263876
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1318502278712
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318502306401
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318502309746
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1318502309791
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1318502324719
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1318502337339
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1318502378261
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1318502400477
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318502418919
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318502419024
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318502419030
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318502555620
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1318502645428
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318502660230
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318502660323
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.smartEnter",1318502667537
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.moveLineUp",1318502668950
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.moveLineUp",1318502669224
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.moveLineUp",1318502670151
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.moveLineUp",1318502670579
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318502695828
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318502695936
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1318502697479
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1318502710340
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1318502710490
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1318502753661
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1318502764647
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1318502794526
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1318502796057
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1318502809703
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1318502812230
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1318502816569
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.moveLineUp",1318502826769
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.moveLineUp",1318502826954
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.moveLineUp",1318502827114
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.moveLineUp",1318502827276
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.moveLineDown",1318502827910
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318502831444
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318502831597
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1318502852320
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318502871989
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318502876209
